Table,Rows,Columns,Has_Diagnosis,Critical
Novel_Imaging_Cohort_Study_ADAS_05Aug2025,12589,16,False,False
Novel_Imaging_Cohort_Study_ADDCOMM_05Aug2025,6229,16,False,False
Novel_Imaging_Cohort_Study_ADI_05Aug2025,1128,18,False,False
Novel_Imaging_Cohort_Study_ADSXLIST_05Aug2025,4884,39,False,False
Novel_Imaging_Cohort_Study_ADVERSE_05Aug2025,3694,88,False,False
Novel_Imaging_Cohort_Study_All_Images_05Aug2025,100496,13,False,False
Novel_Imaging_Cohort_Study_AMAS_05Aug2025,863,58,False,False
Novel_Imaging_Cohort_Study_AMNART_05Aug2025,881,67,False,False
Novel_Imaging_Cohort_Study_AMYDISC_05Aug2025,467,33,False,False
Novel_Imaging_Cohort_Study_AMYMETA_05Aug2025,2715,38,False,False
Novel_Imaging_Cohort_Study_AMYQC_05Aug2025,2552,27,False,False
Novel_Imaging_Cohort_Study_AMYREAD_05Aug2025,654,23,False,False
Novel_Imaging_Cohort_Study_ANTIAMYTX_05Aug2025,6,20,False,False
Novel_Imaging_Cohort_Study_APOERES_05Aug2025,2542,16,False,False
Novel_Imaging_Cohort_Study_ARM_05Aug2025,3074,14,True,False
Novel_Imaging_Cohort_Study_AV45META_05Aug2025,3399,51,False,False
Novel_Imaging_Cohort_Study_AV45QC_05Aug2025,2705,38,False,False
Novel_Imaging_Cohort_Study_BACKMEDS_05Aug2025,13000,15,False,False
Novel_Imaging_Cohort_Study_BHR_05Aug2025,1100,13,False,False
Novel_Imaging_Cohort_Study_BIOMARK_05Aug2025,13676,65,False,False
Novel_Imaging_Cohort_Study_BLCHANGE_05Aug2025,14759,29,True,False
Novel_Imaging_Cohort_Study_BLSCHECK_05Aug2025,2202,39,False,False
Novel_Imaging_Cohort_Study_CBBCOMP_05Aug2025,2853,13,False,False
Novel_Imaging_Cohort_Study_CCI_05Aug2025,927,33,False,False
Novel_Imaging_Cohort_Study_CDR_05Aug2025,13250,25,False,False
Novel_Imaging_Cohort_Study_CLIELG_05Aug2025,5625,15,False,False
