source_table,source_column,source_value_pattern,target_ontology,target_uri,target_label,mapping_rule,parent_hpo,last_verified_date
ADSXLIST,AXNAUSEA,1,HPO,hpo:HP:0002018,Nausea,exact_match,HP:0025031,2026-05-18
ADSXLIST,AXVOMIT,1,HPO,hpo:HP:0002013,Vomiting,exact_match,HP:0025031,2026-05-18
ADSXLIST,AXDIARRH,1,HPO,hpo:HP:0002014,Diarrhea,exact_match,HP:0025031,2026-05-18
ADSXLIST,AXCONSTP,1,HPO,hpo:HP:0002019,Constipation,exact_match,HP:0025031,2026-05-18
ADSXLIST,AXABDOMN,1,HPO,hpo:HP:0002027,Abdominal pain,exact_match,HP:0025031,2026-05-18
ADSXLIST,AXSWEATN,1,HPO,hpo:HP:0000975,Hyperhidrosis,exact_match,HP:0000951,2026-05-18
ADSXLIST,AXDIZZY,1,HPO,hpo:HP:0002321,Vertigo,exact_match,HP:0012531,2026-05-18
ADSXLIST,AXENERGY,1,HPO,hpo:HP:0012378,Fatigue,exact_match,HP:0025142,2026-05-18
ADSXLIST,AXDROWSY,1,HPO,hpo:HP:0002104,Apnea-related sleep disorder,exact_match,HP:0002360,2026-05-18
ADSXLIST,AXVISION,1,HPO,hpo:HP:0000504,Abnormality of vision,exact_match,HP:0000478,2026-05-18
ADSXLIST,AXHDACHE,1,HPO,hpo:HP:0002315,Headache,exact_match,HP:0012531,2026-05-18
ADSXLIST,AXDRYMTH,1,HPO,hpo:HP:0000217,Xerostomia,exact_match,HP:0000163,2026-05-18
ADSXLIST,AXBREATH,1,HPO,hpo:HP:0002098,Respiratory distress,exact_match,HP:0002086,2026-05-18
ADSXLIST,AXCOUGH,1,HPO,hpo:HP:0012735,Cough,exact_match,HP:0002086,2026-05-18
ADSXLIST,AXPALPIT,1,HPO,hpo:HP:0001962,Palpitations,exact_match,HP:0001626,2026-05-18
ADSXLIST,AXCHEST,1,HPO,hpo:HP:0100749,Chest pain,exact_match,HP:0012531,2026-05-18
ADSXLIST,AXURNDIS,1,HPO,hpo:HP:0011911,Dysuria,exact_match,HP:0000079,2026-05-18
ADSXLIST,AXURNFRQ,1,HPO,hpo:HP:0000017,Nocturia,exact_match,HP:0000079,2026-05-18
ADSXLIST,AXANKLE,1,HPO,hpo:HP:0000969,Edema,exact_match,HP:0000119,2026-05-18
ADSXLIST,AXMUSCLE,1,HPO,hpo:HP:0003326,Myalgia,exact_match,HP:0033127,2026-05-18
ADSXLIST,AXRASH,1,HPO,hpo:HP:0000988,Skin nodule,exact_match,HP:0000951,2026-05-18
ADSXLIST,AXINSOMN,1,HPO,hpo:HP:0100785,Insomnia,exact_match,HP:0002360,2026-05-18
ADSXLIST,AXDPMOOD,1,HPO,hpo:HP:0000716,Depressivity,exact_match,HP:0000708,2026-05-18
ADSXLIST,AXCRYING,1,HPO,hpo:HP:0000722,Obsessive-compulsive trait,exact_match,HP:0000708,2026-05-18
ADSXLIST,AXELMOOD,1,HPO,hpo:HP:0000744,Mood swings,exact_match,HP:0000708,2026-05-18
ADSXLIST,AXWANDER,1,HPO,hpo:HP:0030223,Wandering,exact_match,HP:0000708,2026-05-18
ADSXLIST,AXFALL,1,HPO,hpo:HP:0002527,Falls,exact_match,HP:0001324,2026-05-18
