source_table,source_column,source_value_pattern,target_ontology,target_uri,target_label,mapping_rule,test_fixture_id,last_verified_date
_synthetic,_node_label,Patient,Biolink,biolink:Case,Case,step 33 — biolink_category on node label,,2026-05-16
_synthetic,_node_label,FamilyMember,Biolink,biolink:Case,Case,step 33 — biolink_category on node label,,2026-05-16
_synthetic,_node_label,Sibling,Biolink,biolink:Case,Case,step 33 — biolink_category on node label,,2026-05-16
_synthetic,_node_label,Visit,Biolink,biolink:Procedure,Procedure,step 33 — biolink_category on node label,,2026-05-16
_synthetic,_node_label,Cohort,Biolink,biolink:Cohort,Cohort,step 33 — biolink_category on node label,,2026-05-16
_synthetic,_node_label,ResearchCohort,Biolink,biolink:Cohort,Cohort,step 33 — biolink_category on node label,,2026-05-16
_synthetic,_node_label,Demographics,Biolink,biolink:Attribute,Attribute,step 33 — biolink_category on node label,,2026-05-16
_synthetic,_node_label,PatientSummary,Biolink,biolink:Attribute,Attribute,step 33 — biolink_category on node label,,2026-05-16
_synthetic,_node_label,Diagnosis,Biolink,biolink:DiseaseOrPhenotypicFeature,DiseaseOrPhenotypicFeature,step 33 — biolink_category on node label,,2026-05-16
_synthetic,_node_label,DiseaseStage,Biolink,biolink:DiseaseOrPhenotypicFeature,DiseaseOrPhenotypicFeature,step 33 — biolink_category on node label,,2026-05-16
_synthetic,_node_label,DiagnosisStage,Biolink,biolink:DiseaseOrPhenotypicFeature,DiseaseOrPhenotypicFeature,step 33 — biolink_category on node label,,2026-05-16
_synthetic,_node_label,MedicalCondition,Biolink,biolink:Disease,Disease,step 33 — biolink_category on node label,,2026-05-16
_synthetic,_node_label,ClinicalFinding,Biolink,biolink:PhenotypicFeature,PhenotypicFeature,step 33 — biolink_category on node label,,2026-05-16
_synthetic,_node_label,ClinicalPhenotype,Biolink,biolink:PhenotypicFeature,PhenotypicFeature,step 33 — biolink_category on node label,,2026-05-16
_synthetic,_node_label,Finding,Biolink,biolink:PhenotypicFeature,PhenotypicFeature,step 33 — biolink_category on node label,,2026-05-16
_synthetic,_node_label,ImageFinding,Biolink,biolink:PhenotypicFeature,PhenotypicFeature,step 33 — biolink_category on node label,,2026-05-16
_synthetic,_node_label,LaboratoryFinding,Biolink,biolink:PhenotypicFeature,PhenotypicFeature,step 33 — biolink_category on node label,,2026-05-16
_synthetic,_node_label,PsychometricFinding,Biolink,biolink:PhenotypicFeature,PhenotypicFeature,step 33 — biolink_category on node label,,2026-05-16
_synthetic,_node_label,Biomarker,Biolink,biolink:MolecularEntity,MolecularEntity,step 33 — biolink_category on node label,,2026-05-16
_synthetic,_node_label,CSFBiomarker,Biolink,biolink:MolecularEntity,MolecularEntity,step 33 — biolink_category on node label,,2026-05-16
_synthetic,_node_label,BloodBiomarker,Biolink,biolink:MolecularEntity,MolecularEntity,step 33 — biolink_category on node label,,2026-05-16
_synthetic,_node_label,BiomarkerProfile,Biolink,biolink:ClinicalAttribute,ClinicalAttribute,step 33 — biolink_category on node label,,2026-05-16
_synthetic,_node_label,BiomarkerCategory,Biolink,biolink:OntologyClass,OntologyClass,step 33 — biolink_category on node label,,2026-05-16
_synthetic,_node_label,BiomarkerType,Biolink,biolink:OntologyClass,OntologyClass,step 33 — biolink_category on node label,,2026-05-16
_synthetic,_node_label,BiomarkerPattern,Biolink,biolink:Attribute,Attribute,step 33 — biolink_category on node label,,2026-05-16
_synthetic,_node_label,PETBinding,Biolink,biolink:MolecularEntity,MolecularEntity,step 33 — biolink_category on node label,,2026-05-16
_synthetic,_node_label,PETTracer,Biolink,biolink:ChemicalEntity,ChemicalEntity,step 33 — biolink_category on node label,,2026-05-16
_synthetic,_node_label,CognitiveAssessment,Biolink,biolink:ClinicalAttribute,ClinicalAttribute,step 33 — biolink_category on node label,,2026-05-16
_synthetic,_node_label,ClinicalAssessment,Biolink,biolink:ClinicalAttribute,ClinicalAttribute,step 33 — biolink_category on node label,,2026-05-16
_synthetic,_node_label,Assessment,Biolink,biolink:ClinicalAttribute,ClinicalAttribute,step 33 — biolink_category on node label,,2026-05-16
_synthetic,_node_label,MultimodalAssessment,Biolink,biolink:ClinicalAttribute,ClinicalAttribute,step 33 — biolink_category on node label,,2026-05-16
_synthetic,_node_label,CognitiveTrajectory,Biolink,biolink:Attribute,Attribute,step 33 — biolink_category on node label,,2026-05-16
_synthetic,_node_label,CognitiveTest,Biolink,biolink:DiagnosticAid,DiagnosticAid,step 33 — biolink_category on node label,,2026-05-16
_synthetic,_node_label,TestType,Biolink,biolink:NamedThing,NamedThing,step 33 — biolink_category on node label,,2026-05-16
_synthetic,_node_label,Scale,Biolink,biolink:InformationContentEntity,InformationContentEntity,step 33 — biolink_category on node label,,2026-05-16
_synthetic,_node_label,ATNProfile,Biolink,biolink:ClinicalAttribute,ClinicalAttribute,step 33 — biolink_category on node label,,2026-05-16
_synthetic,_node_label,ATNCategory,Biolink,biolink:OntologyClass,OntologyClass,step 33 — biolink_category on node label,,2026-05-16
_synthetic,_node_label,BrainRegion,Biolink,biolink:GrossAnatomicalStructure,GrossAnatomicalStructure,step 33 — biolink_category on node label,,2026-05-16
_synthetic,_node_label,ImageNode,Biolink,biolink:Image,Image,step 33 — biolink_category on node label,,2026-05-16
_synthetic,_node_label,ImagingStudy,Biolink,biolink:Procedure,Procedure,step 33 — biolink_category on node label,,2026-05-16
_synthetic,_node_label,ImagingSeries,Biolink,biolink:Dataset,Dataset,step 33 — biolink_category on node label,,2026-05-16
_synthetic,_node_label,Series,Biolink,biolink:Dataset,Dataset,step 33 — biolink_category on node label,,2026-05-16
_synthetic,_node_label,MRIScan,Biolink,biolink:Procedure,Procedure,step 33 — biolink_category on node label,,2026-05-16
_synthetic,_node_label,PETScan,Biolink,biolink:Procedure,Procedure,step 33 — biolink_category on node label,,2026-05-16
_synthetic,_node_label,BrainImagingTest,Biolink,biolink:Procedure,Procedure,step 33 — biolink_category on node label,,2026-05-16
_synthetic,_node_label,VolumetricMeasure,Biolink,biolink:Attribute,Attribute,step 33 — biolink_category on node label,,2026-05-16
_synthetic,_node_label,Imaging,Biolink,biolink:Procedure,Procedure,step 33 — biolink_category on node label,,2026-05-16
_synthetic,_node_label,Genetic,Biolink,biolink:Genotype,Genotype,step 33 — biolink_category on node label,,2026-05-16
_synthetic,_node_label,GeneticMarker,Biolink,biolink:Genotype,Genotype,step 33 — biolink_category on node label,,2026-05-16
_synthetic,_node_label,GeneticRiskProfile,Biolink,biolink:Attribute,Attribute,step 33 — biolink_category on node label,,2026-05-16
_synthetic,_node_label,FamilyRisk,Biolink,biolink:Attribute,Attribute,step 33 — biolink_category on node label,,2026-05-16
_synthetic,_node_label,RiskFactor,Biolink,biolink:Attribute,Attribute,step 33 — biolink_category on node label,,2026-05-16
_synthetic,_node_label,OntologyConcept,Biolink,biolink:OntologyClass,OntologyClass,step 33 — biolink_category on node label,,2026-05-16
_synthetic,_node_label,AlzKBConcept,Biolink,biolink:OntologyClass,OntologyClass,step 33 — biolink_category on node label,,2026-05-16
_synthetic,_node_label,Ontology,Biolink,biolink:OntologyClass,OntologyClass,step 33 — biolink_category on node label,,2026-05-16
_synthetic,_node_label,EventOntology,Biolink,biolink:OntologyClass,OntologyClass,step 33 — biolink_category on node label,,2026-05-16
_synthetic,_node_label,EventType,Biolink,biolink:NamedThing,NamedThing,step 33 — biolink_category on node label,,2026-05-16
_synthetic,_node_label,Gene,Biolink,biolink:Gene,Gene,step 33 — biolink_category on node label,,2026-05-16
_synthetic,_node_label,Medication,Biolink,biolink:Drug,Drug,step 33 — biolink_category on node label,,2026-05-16
_synthetic,_node_label,BiologicalPathway,Biolink,biolink:Pathway,Pathway,step 33 — biolink_category on node label,,2026-05-16
_synthetic,_node_label,Process,Biolink,biolink:BiologicalProcessOrActivity,BiologicalProcessOrActivity,step 33 — biolink_category on node label,,2026-05-16
_synthetic,_node_label,ProcessingActivity,Biolink,biolink:Activity,Activity,step 33 — biolink_category on node label,,2026-05-16
_synthetic,_node_label,DiagnosticProcess,Biolink,biolink:Procedure,Procedure,step 33 — biolink_category on node label,,2026-05-16
_synthetic,_node_label,LaboratoryAssay,Biolink,biolink:Procedure,Procedure,step 33 — biolink_category on node label,,2026-05-16
_synthetic,_node_label,ProgressionEvent,Biolink,biolink:Activity,Activity,step 33 — biolink_category on node label,,2026-05-16
_synthetic,_node_label,ProgressionPattern,Biolink,biolink:Attribute,Attribute,step 33 — biolink_category on node label,,2026-05-16
_synthetic,_node_label,Timeline,Biolink,biolink:Attribute,Attribute,step 33 — biolink_category on node label,,2026-05-16
_synthetic,_node_label,TemporalRegion,Biolink,biolink:Attribute,Attribute,step 33 — biolink_category on node label,,2026-05-16
_synthetic,_node_label,ZeroDimensionalTemporalRegion,Biolink,biolink:Attribute,Attribute,step 33 — biolink_category on node label,,2026-05-16
_synthetic,_node_label,BatchIngestion,Biolink,biolink:Activity,Activity,step 33 — biolink_category on node label,,2026-05-16
_synthetic,_node_label,DataSource,Biolink,biolink:InformationContentEntity,InformationContentEntity,step 33 — biolink_category on node label,,2026-05-16
_synthetic,_node_label,ParticipantFile,Biolink,biolink:InformationContentEntity,InformationContentEntity,step 33 — biolink_category on node label,,2026-05-16
_synthetic,_node_label,Participant,Biolink,biolink:Case,Case,step 33 — biolink_category on node label,,2026-05-16
