source_table,source_column,source_value_pattern,target_ontology,target_uri,target_label,mapping_rule,test_fixture_id,last_verified_date
_synthetic,_relationship_type,HAS_VISIT,Biolink,biolink:has_attribute,has_attribute,step 33 — biolink_predicate on rel type,,2026-05-16
_synthetic,_relationship_type,HAS_DIAGNOSIS,Biolink,biolink:has_phenotype,has_phenotype,step 33 — biolink_predicate on rel type,,2026-05-16
_synthetic,_relationship_type,HAS_COGNITIVE_ASSESSMENT,Biolink,biolink:has_attribute,has_attribute,step 33 — biolink_predicate on rel type,,2026-05-16
_synthetic,_relationship_type,HAS_BIOMARKER,Biolink,biolink:has_biomarker_for,has_biomarker_for,step 33 — biolink_predicate on rel type,,2026-05-16
_synthetic,_relationship_type,HAS_BIOMARKER_PROFILE,Biolink,biolink:has_attribute,has_attribute,step 33 — biolink_predicate on rel type,,2026-05-16
_synthetic,_relationship_type,HAS_PHENOTYPE,Biolink,biolink:has_phenotype,has_phenotype,step 33 — biolink_predicate on rel type,,2026-05-16
_synthetic,_relationship_type,HAS_RISK_FACTOR,Biolink,biolink:has_phenotype,has_phenotype,step 33 — biolink_predicate on rel type,,2026-05-16
_synthetic,_relationship_type,HAS_AMYLOID_STATUS,Biolink,biolink:has_phenotype,has_phenotype,step 33 — biolink_predicate on rel type,,2026-05-16
_synthetic,_relationship_type,HAS_TAU_STATUS,Biolink,biolink:has_phenotype,has_phenotype,step 33 — biolink_predicate on rel type,,2026-05-16
_synthetic,_relationship_type,HAS_NEURODEGENERATION_STATUS,Biolink,biolink:has_phenotype,has_phenotype,step 33 — biolink_predicate on rel type,,2026-05-16
_synthetic,_relationship_type,HAS_DEMOGRAPHICS,Biolink,biolink:has_attribute,has_attribute,step 33 — biolink_predicate on rel type,,2026-05-16
_synthetic,_relationship_type,HAS_GENETIC_RISK,Biolink,biolink:has_phenotype,has_phenotype,step 33 — biolink_predicate on rel type,,2026-05-16
_synthetic,_relationship_type,HAS_GENETIC_MARKER,Biolink,biolink:has_attribute,has_attribute,step 33 — biolink_predicate on rel type,,2026-05-16
_synthetic,_relationship_type,HAS_CLINICAL_FINDING,Biolink,biolink:has_phenotype,has_phenotype,step 33 — biolink_predicate on rel type,,2026-05-16
_synthetic,_relationship_type,HAS_ATN_PROFILE,Biolink,biolink:has_attribute,has_attribute,step 33 — biolink_predicate on rel type,,2026-05-16
_synthetic,_relationship_type,HAS_COGNITIVE_TRAJECTORY,Biolink,biolink:has_attribute,has_attribute,step 33 — biolink_predicate on rel type,,2026-05-16
_synthetic,_relationship_type,HAS_MULTIMODAL_ASSESSMENT,Biolink,biolink:has_attribute,has_attribute,step 33 — biolink_predicate on rel type,,2026-05-16
_synthetic,_relationship_type,HAS_IMAGE,Biolink,biolink:has_attribute,has_attribute,step 33 — biolink_predicate on rel type,,2026-05-16
_synthetic,_relationship_type,HAS_FAMILY_MEMBER,Biolink,biolink:related_to,related_to,step 33 — biolink_predicate on rel type,,2026-05-16
_synthetic,_relationship_type,HAS_PARENT,Biolink,biolink:related_to,related_to,step 33 — biolink_predicate on rel type,,2026-05-16
_synthetic,_relationship_type,HAS_SIBLING,Biolink,biolink:related_to,related_to,step 33 — biolink_predicate on rel type,,2026-05-16
_synthetic,_relationship_type,HAS_FAMILY_RISK,Biolink,biolink:has_phenotype,has_phenotype,step 33 — biolink_predicate on rel type,,2026-05-16
_synthetic,_relationship_type,PROGRESSED_TO,Biolink,biolink:precedes,precedes,step 33 — biolink_predicate on rel type,,2026-05-16
_synthetic,_relationship_type,PRECEDES,Biolink,biolink:precedes,precedes,step 33 — biolink_predicate on rel type,,2026-05-16
_synthetic,_relationship_type,FOLLOWED_BY,Biolink,biolink:precedes,precedes,step 33 — biolink_predicate on rel type,,2026-05-16
_synthetic,_relationship_type,FOLLOWS_PROGRESSION,Biolink,biolink:related_to,related_to,step 33 — biolink_predicate on rel type,,2026-05-16
_synthetic,_relationship_type,PROGRESSES_TO,Biolink,biolink:precedes,precedes,step 33 — biolink_predicate on rel type,,2026-05-16
_synthetic,_relationship_type,CAN_PROGRESS_TO,Biolink,biolink:precedes,precedes,step 33 — biolink_predicate on rel type,,2026-05-16
_synthetic,_relationship_type,EXPERIENCED_PROGRESSION,Biolink,biolink:contributes_to,contributes_to,step 33 — biolink_predicate on rel type,,2026-05-16
_synthetic,_relationship_type,AT_STAGE,Biolink,biolink:has_attribute,has_attribute,step 33 — biolink_predicate on rel type,,2026-05-16
_synthetic,_relationship_type,AT_DISEASE_STAGE,Biolink,biolink:has_attribute,has_attribute,step 33 — biolink_predicate on rel type,,2026-05-16
_synthetic,_relationship_type,ASSOCIATED_WITH_STAGE,Biolink,biolink:related_to,related_to,step 33 — biolink_predicate on rel type,,2026-05-16
_synthetic,_relationship_type,RESULTED_IN,Biolink,biolink:causes,causes,step 33 — biolink_predicate on rel type,,2026-05-16
_synthetic,_relationship_type,SUPPORTS_DIAGNOSIS,Biolink,biolink:correlated_with,correlated_with,step 33 — biolink_predicate on rel type,,2026-05-16
_synthetic,_relationship_type,CORRELATES_WITH,Biolink,biolink:correlated_with,correlated_with,step 33 — biolink_predicate on rel type,,2026-05-16
_synthetic,_relationship_type,INDICATES,Biolink,biolink:correlated_with,correlated_with,step 33 — biolink_predicate on rel type,,2026-05-16
_synthetic,_relationship_type,INDICATES_PATHWAY,Biolink,biolink:related_to,related_to,step 33 — biolink_predicate on rel type,,2026-05-16
_synthetic,_relationship_type,UNDERWENT_ASSESSMENT,Biolink,biolink:participates_in,participates_in,step 33 — biolink_predicate on rel type,,2026-05-16
_synthetic,_relationship_type,INCLUDES_ASSESSMENT,Biolink,biolink:related_to,related_to,step 33 — biolink_predicate on rel type,,2026-05-16
_synthetic,_relationship_type,IS_CLINICAL_FINDING,Biolink,biolink:related_to,related_to,step 33 — biolink_predicate on rel type,,2026-05-16
_synthetic,_relationship_type,IS_TYPE,Biolink,biolink:category,category,step 33 — biolink_predicate on rel type,,2026-05-16
_synthetic,_relationship_type,IN_COHORT,Biolink,biolink:in_cohort,in_cohort,step 33 — biolink_predicate on rel type,,2026-05-16
_synthetic,_relationship_type,BELONGS_TO_COHORT,Biolink,biolink:in_cohort,in_cohort,step 33 — biolink_predicate on rel type,,2026-05-16
_synthetic,_relationship_type,BELONGS_TO_CATEGORY,Biolink,biolink:category,category,step 33 — biolink_predicate on rel type,,2026-05-16
_synthetic,_relationship_type,MAPS_TO,Biolink,biolink:exact_match,exact_match,step 33 — biolink_predicate on rel type,,2026-05-16
_synthetic,_relationship_type,IS_A,Biolink,biolink:subclass_of,subclass_of,step 33 — biolink_predicate on rel type,,2026-05-16
_synthetic,_relationship_type,CLASSIFIED_AS,Biolink,biolink:category,category,step 33 — biolink_predicate on rel type,,2026-05-16
_synthetic,_relationship_type,SAME_AS,Biolink,biolink:same_as,same_as,step 33 — biolink_predicate on rel type,,2026-05-16
_synthetic,_relationship_type,HAS_SUBTYPE,Biolink,biolink:superclass_of,superclass_of,step 33 — biolink_predicate on rel type,,2026-05-16
_synthetic,_relationship_type,ALZKB_RELATES_TO,Biolink,biolink:related_to,related_to,step 33 — biolink_predicate on rel type,,2026-05-16
_synthetic,_relationship_type,PARTICIPATES_IN,Biolink,biolink:participates_in,participates_in,step 33 — biolink_predicate on rel type,,2026-05-16
_synthetic,_relationship_type,ENCODES,Biolink,biolink:encodes,encodes,step 33 — biolink_predicate on rel type,,2026-05-16
