source_csv,source_table,source_column,source_value_pattern,target_ontology,target_uri,target_label,mapping_rule,test_fixture_id,last_verified_date
diagnosis_to_snomed_icd10.csv,DXSUM,DIAGNOSIS,CN,SNOMED-CT,snomed:17621005,Normal (finding),exact_match,dx_p3_m12,2026-05-09
diagnosis_to_snomed_icd10.csv,DXSUM,DIAGNOSIS,CN,ICD-10,icd10:Z03.89,No diagnosis or condition,exact_match,dx_p3_m12,2026-05-09
diagnosis_to_snomed_icd10.csv,DXSUM,DIAGNOSIS,CN,NCIt,ncit:C94342,Cognitively Normal,exact_match,dx_p3_m12,2026-05-09
diagnosis_to_snomed_icd10.csv,DXSUM,DIAGNOSIS,SMC,SNOMED-CT,snomed:386807006,Subjective memory complaint,exact_match,,2026-05-09
diagnosis_to_snomed_icd10.csv,DXSUM,DIAGNOSIS,SMC,ICD-10,icd10:R41.3,Other amnesia,exact_match,,2026-05-09
diagnosis_to_snomed_icd10.csv,DXSUM,DIAGNOSIS,SMC,NCIt,ncit:C176715,Subjective Cognitive Complaint,exact_match,,2026-05-09
diagnosis_to_snomed_icd10.csv,DXSUM,DIAGNOSIS,EMCI,SNOMED-CT,snomed:386806002,Mild cognitive impairment (early),exact_match,,2026-05-09
diagnosis_to_snomed_icd10.csv,DXSUM,DIAGNOSIS,EMCI,ICD-10,icd10:F06.7,Mild cognitive disorder,exact_match,,2026-05-09
diagnosis_to_snomed_icd10.csv,DXSUM,DIAGNOSIS,EMCI,MONDO,MONDO:0024647,Mild cognitive impairment,exact_match,,2026-05-09
diagnosis_to_snomed_icd10.csv,DXSUM,DIAGNOSIS,EMCI,NCIt,ncit:C100044,Mild Cognitive Impairment,exact_match,,2026-05-09
diagnosis_to_snomed_icd10.csv,DXSUM,DIAGNOSIS,LMCI,SNOMED-CT,snomed:386806002,Mild cognitive impairment (late),exact_match,,2026-05-09
diagnosis_to_snomed_icd10.csv,DXSUM,DIAGNOSIS,LMCI,ICD-10,icd10:F06.7,Mild cognitive disorder,exact_match,,2026-05-09
diagnosis_to_snomed_icd10.csv,DXSUM,DIAGNOSIS,LMCI,MONDO,MONDO:0024647,Mild cognitive impairment,exact_match,,2026-05-09
