query_name,complexity,iteration,execution_time_ms,db_hits_calculated,rows_returned
Q1_patient_lookup,simple,1,5.477800004882738,2,1
Q1_patient_lookup,simple,2,1.5718999929958954,2,1
Q1_patient_lookup,simple,3,1.3474000006681308,2,1
Q2_count_diagnoses,simple,1,3.174899989971891,25947,1
Q2_count_diagnoses,simple,2,1.3350999943213537,25947,1
Q2_count_diagnoses,simple,3,1.2965999922016636,25947,1
Q3_patient_visits,moderate,1,6.781100004445761,31,19
Q3_patient_visits,moderate,2,1.3402000040514395,19,7
Q3_patient_visits,moderate,3,1.2261000083526596,14,2
Q4_cognitive_scores,moderate,1,7.946300000185147,9280,100
Q4_cognitive_scores,moderate,2,2.5205999991158023,9280,100
Q4_cognitive_scores,moderate,3,2.4953999964054674,9280,100
Q5_diagnosis_progression,complex,1,10.88539999909699,9823,50
Q5_diagnosis_progression,complex,2,2.940100006526336,9823,50
Q5_diagnosis_progression,complex,3,2.6273999974364415,9823,50
Q6_atn_distribution,research,1,63.65489999006968,26224,3
Q6_atn_distribution,research,2,33.41829999408219,26224,3
Q6_atn_distribution,research,3,31.79130000353325,26224,3
Q7_biomarker_analysis,analytical,1,32.442699986859225,12048,4
Q7_biomarker_analysis,analytical,2,24.306799998157658,12048,4
Q7_biomarker_analysis,analytical,3,25.05620000010822,12048,4
Q8_multimodal_integration,research,1,6077.688500008662,3000,20
Q8_multimodal_integration,research,2,6051.9283000030555,3000,20
Q8_multimodal_integration,research,3,6026.772800003528,3000,20
Q9_temporal_network,analytical,1,101.19739999936428,1100,1
Q9_temporal_network,analytical,2,26.9370999885723,1100,1
Q9_temporal_network,analytical,3,22.78630000364501,1100,1
Q10_cognitive_trajectories,complex,1,40.864299997338094,1000,10
Q10_cognitive_trajectories,complex,2,27.96469999884721,1000,10
Q10_cognitive_trajectories,complex,3,28.17940000386443,1000,10
